theme_code,Recipe Name,Recipe Link,Recipe Image Link,category
101012001,연잎밥 만드는법,https://www.10000recipe.com//recipe/6212833,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/646b3b11e4e3ec4628455146bfcd48fe1_m.jpg,저칼로리 다이어트
101012001,머위대볶음 만들기,https://www.10000recipe.com//recipe/6745324,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/29b12201b5649b96ec4a95bcaa701ad41_m.jpg,저칼로리 다이어트
101012001,고구마말랭이 샐러드,https://www.10000recipe.com//recipe/6733952,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/15/f28e8ff15a9a82fc3a1dc9a0ff5f9f1d1_m.jpg,저칼로리 다이어트
101012001,맛이 담백한 비름나물무침,https://www.10000recipe.com//recipe/6816547,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/05/aa7551d636981367943a0a8f0d4d4efb1_m.jpg,저칼로리 다이어트
101012001,표고버섯 들깨야채볶음 만드는 법,https://www.10000recipe.com//recipe/6795314,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/06d69224cd5eecb357d1cf5afa50c4931_m.jpg,저칼로리 다이어트
101012001,별미 미역줄기잡채,https://www.10000recipe.com//recipe/6806491,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/7d7a6350475a04a970fb93fa319c42791_m.jpg,저칼로리 다이어트
101012001,쌈다시마 무침 만들기,https://www.10000recipe.com//recipe/5836141,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/16/5f7acd186f6f853bac508b82374703921_m.jpg,저칼로리 다이어트
101012001,매생이굴국,https://www.10000recipe.com//recipe/3390104,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/22/5972631b9e3bd3200bc86a83d0a5d1ae1_m.JPG,저칼로리 다이어트
101012001,다이어트에 좋은 크레페,https://www.10000recipe.com//recipe/2905126,https://recipe1.ezmember.co.kr/cache/recipe/2015/03/13/fe5bfb76cbe6f3cd0e1bb95c2eda4cc01_m.jpg,저칼로리 다이어트
101012001,꼬시래기초무침 만들기,https://www.10000recipe.com//recipe/6626594,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/c7e94c62bb9b232fe5c8bf8b82fd81fd1_m.jpg,저칼로리 다이어트
101012001,웰빙 해초 두부 샐러드,https://www.10000recipe.com//recipe/5525124,https://recipe1.ezmember.co.kr/cache/recipe/2015/03/18/8045234199b35928a971ef1639b150e91_m.jpg,저칼로리 다이어트
101012001,초록의 오이컵 새우샐러드,https://www.10000recipe.com//recipe/2783108,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/21/c1c9a95e1a4d02f21d82de194eef44b31_m.jpg,저칼로리 다이어트
101012001,향긋한 두릅전 만들기,https://www.10000recipe.com//recipe/6802499,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/0540e63256412fe9733a933b09a303bb1_m.jpg,저칼로리 다이어트
